name,author,category,rank,read,link
Where I'm Calling From,Raymond Carver,fiction,3,,http://www.amazon.com/gp/product/0679722319?colid=FPQHKBWL424H&coliid=I2PQQ6I0LW5PHU&ref_=wl_it_dp_o_pC_nS_ttl
With the Old Breed,E.B. Sledge,fiction,4,,http://www.amazon.com/gp/product/0195067142?colid=FPQHKBWL424H&coliid=I2PXBK8IBY5MMZ&ref_=wl_it_dp_o_pC_nS_ttl
Six Memos for the Next Millennium,Italo Calvino,fiction,5,,http://www.amazon.com/gp/product/0679742379?colid=FPQHKBWL424H&coliid=I1FML7XM2MN3AG&ref_=wl_it_dp_o_pC_nS_ttl
Indian Nocturne,Antonio Tabucchi,fiction,4,,http://www.amazon.com/gp/product/0811210804?colid=FPQHKBWL424H&coliid=I3AK0HULICAD53&ref_=wl_it_dp_o_pC_S_ttl
The Rings of Saturn,W.G. Sebald,fiction,3,,http://www.amazon.com/gp/product/0811214133?colid=FPQHKBWL424H&coliid=ISBI2P7HM08M3&ref_=wl_it_dp_o_pC_nS_ttl
In Patagonia,Bruce Chatwin,fiction,4,,http://www.amazon.com/gp/product/0142437190?colid=FPQHKBWL424H&coliid=I1V6BZY3EC2GNE&ref_=wl_it_dp_o_pC_nS_ttl
The Road to Reality: A Complete Guide to the Laws of the Universe,Roger Penrose,technical,3,,http://www.amazon.com/dp/0679776311/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=IAWMYER53S3GY
The Structures of Everyday Life,Fernand Braudel,politics,4,,http://www.amazon.com/dp/B0044O4CW0/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I70XDJ32GD349
Bird by Bird,Anne Lamott,,5,,http://www.amazon.com/dp/0385480016/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=IOHJNDU74LAL
"Where the Heart Beats: John Cage, Zen Buddhism, and the Inner Life of Artists",Kay Larson,self-improvement,4,,http://www.amazon.com/dp/1594203407/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I1CRYEI6P6TNK3
How Buildings Learn,Stewart Brand,architecture,5,,http://www.amazon.com/dp/0670835153/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I1VOZNN48XA0GS
Gaia: A New Look at Life on Earth,James Lovelock,,3,,http://www.amazon.com/dp/0192862189/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I2V9MKIDX2JE8H
Essentialism: The Disciplined Pursuit of Less,Greg Mckeown,self-improvement,2,,http://www.amazon.com/dp/B00G1J1D28/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I2TXA0FCFXY6JE
The Adventures of Johnny Bunko: The Last Career Guide You'll Ever Need,Daniel Pink,self-improvement,2,,http://www.amazon.com/dp/B0015DRPL8/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3LCNIF2PB6FGP
SPIN Selling,Neil Rackham,self-improvement,3,,http://www.amazon.com/dp/0070511136/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1ZKCHF6GIQUV9
The Magic of Thinking Big,David Schwartz,self-improvement,2,,http://www.amazon.com/dp/0671646788/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1CDVWIDRHAALA
Small Giants: Companies That Choose to Be Great Instead of Big,Bo Burlingham,self-improvement,2,,http://www.amazon.com/dp/B000OCXFYC/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3IGJ0RIVW722Y
The Ultimate Sales Machine,Chet Holmes,self-improvement,3,,http://www.amazon.com/dp/1591842158/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3664OKBRU7250
The 22 Immutable Laws of Marketing,Al Ries,self-improvement,2,,http://www.amazon.com/dp/0887306667/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3GOFY1AANJCQT
Time and the Art of Living,Robert Grudin,self-improvement,4,,http://www.amazon.com/dp/0395898315/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3RYFDWNGFI4FB
Reflections on the Art of Living,Joseph Campbell,self-improvement,4,,http://www.amazon.com/dp/0060926171/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1QQF6FBDW48SC
On the Taboo Against Knowing Who You Are,Alan Watts,self-improvement,3,,http://www.amazon.com/dp/0679723005/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I25S72PLZUCX67
The Power of Now,Eckhart Tolle,self-improvement,3,,http://www.amazon.com/dp/1577314808/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I2OZ9Z85BUA1DE
Ho to Win Friends and Influence People,Dale Carnegie,self-improvement,3,,http://www.amazon.com/dp/0671723650/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1U1MPPRVVRRFP
Man's Searcch for Meaning,Viktor Frankl,self-improvement,2,,http://www.amazon.com/dp/0807014273/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I2EDDJ787AMPLZ
Art of Living,Epictetus,self-improvement,4,,http://www.amazon.com/dp/0061286052/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I48IU0Z4FQPJL
The Ego Tunnel: The Science of the Mind and the Myth of the Self,Thomas Metzinger,self-improvement,3,,http://www.amazon.com/dp/0465020690/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I13DYQTSPGO7A3
Ways of Seeing,John Berger,self-improvement,5,,http://www.amazon.com/dp/0140135154/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=ISIZRR2MZY7SQ
How to Get Rich,Felix Dennis,self-improvement,2,,http://www.amazon.com/dp/0091912652/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1HHJLJTP43W0I
Metamagical Themas: Questing for the Essence of Mind and Pattern,Douglas Hofstadter,self-improvement,4,,http://www.amazon.com/dp/0465045405/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1WBBJ7X0J6UFB
The User Illusion,Tor Norretranders,philosophy,3,,http://www.amazon.com/dp/0140230122/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3TL2TBJCT28UC
How to Talk So Kids Will Listen & Listen So Kids Will Talk,Adele Faber,self-improvement,3,,http://www.amazon.com/dp/0380811960/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3FGIBP6GJS0M9
Stirner: The Ego and its Own,Max Stirner,philosophy,3,,http://www.amazon.com/dp/0521456479/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IJ2EGTBRNK4XF
Science and Practice of Strength Training,Vladimir Zatsiorsky,self-improvement,2,,http://www.amazon.com/dp/0736056289/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1Y2SVFXZNJMJN
Willpower: Rediscovering the Greatest Human Strength,Roy Baumesiter,self-improvement,4,,http://www.amazon.com/dp/1594203075/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I6117D5Y7X3DZ
Being No One: The Self-Model Theory of Subjectivity,Thomas Metzinger,self-improvement,3,,http://www.amazon.com/dp/0262134179/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1OG1EXF9Z9L30
"Memories, Dreams, Reflections",C.G. Jung,self-improvement,3,,http://www.amazon.com/dp/0679723951/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3SHZGMOOTIV57
Influence: Science and Practice,Robert Cialdini,self-improvement,3,,http://www.amazon.com/dp/0205609996/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I2JUDSQTM3E7TX
"Now, Discover Your Strengths",Marcus Buckingham,self-improvement,3,,http://www.amazon.com/dp/0743201140/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IJHYAQ8KUVONP
Built to Last: Successful Habits of Visionary Companies,Jim Collins,business,3,,http://www.amazon.com/dp/0060566108/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I7210RCS1S2YE
Mastering the Rockefeller Habist,Verne Harnish,business,3,,http://www.amazon.com/dp/1590790154/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I2I761JIEFH7ON
Cognitive Surplus: Creativity and Generosity in a Connected Age,Clay Shirky,self-improvement,3,,http://www.amazon.com/dp/1594202532/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3JTF1ARQO3XQ7
"The Power of Full Engagement: Managing Energy, Not Time",Jim Loehr,self-improvement,3,,http://www.amazon.com/dp/0743226755/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=II1YPWYARUIE3
Talent is Overrated,Geoff Colvin,self-improvement,3,,http://www.amazon.com/dp/1591842247/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3O8T8BRLNUEU3
The Talent Code,Daniel Coyle,self-improvement,3,,http://www.amazon.com/dp/055380684X/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I31HO27I931OHJ
Managing Oneself,Peter Drucker,self-improvement,4,,http://www.amazon.com/dp/142212312X/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I8HPZKM9V3LS3
Book of Five Rings,Miyamoto Musashi,self-improvement,4,,http://www.amazon.com/dp/0517415283/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=ISNXRQ2OAOWHW
The Tibetan Yogas of Dream and Sleep,Tenzin Wangyal Rinpoche,self-improvement,3,,http://www.amazon.com/dp/1559391014/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I1TA8KK7318R3V
Emotional Intelligence,Daniel Goleman,self-improvement,3,,http://www.amazon.com/dp/055380491X/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IJCOVJDOZB6J5
The 7 Habits of Highly Effective People,Stephen Covey,self-improvement,3,,http://www.amazon.com/dp/0743269519/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IXEFCBXBOLOT1
The Greatest Secret in the World,Og Mandino,self-improvement,4,,http://www.amazon.com/dp/0553280384/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IM3U4GNS7A1ED
Flow: The Psychology of Optimal Experience,Mihaly Cskikszentmihalyi,self-improvement,4,,http://www.amazon.com/dp/0061339202/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=IYCVNUT80B9S
The Hambridge Handbook of Expertise and Expert Performance,K. Ericsson,self-improvement,3,,http://www.amazon.com/dp/0521600812/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I3PI6ZILAZQJ3M
What Every BODY is Saying,Joe Navarro,self-improvement,3,,http://www.amazon.com/dp/0061438294/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2DIJ6MQCOT3H9&coliid=I27B6EX29V2XW5
"American Force: Dangers, Delusions, and Dilemmas in National Secruity",R.K. Betts,politics,2,,http://www.amazon.com/gp/product/B006NVGGVW?colid=37GZ0Q8AZVOZ8&coliid=I2WQRM7LK9ARXZ&ref_=wl_it_dp_o_pC_nS_ttl
Tocqueville and His America: A Darker Horizon,Arthur Kaledin,politics,3,,http://www.amazon.com/gp/product/0300119313?colid=37GZ0Q8AZVOZ8&coliid=IYSHPUAFCF4LD&ref_=wl_it_dp_o_pC_S_ttl
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu,politics,2,,http://www.amazon.com/gp/product/0307719219?colid=37GZ0Q8AZVOZ8&coliid=IVHD2BLYU6ULI&ref_=wl_it_dp_o_pC_S_ttl
The Debt Generation,David Malone,politics,3,,http://www.amazon.com/gp/product/0956690203?colid=37GZ0Q8AZVOZ8&coliid=I1SDR4H7SCX2YV&ref_=wl_it_dp_o_pC_nS_ttl
The True Gold Standard,Lewis Lehrman,politics,2,,http://www.amazon.com/gp/product/0984017801?colid=37GZ0Q8AZVOZ8&coliid=I3BLIJJDAKIP8C&ref_=wl_it_dp_o_pd_S_ttl
The Power of the Powerless,Vaclac Havel,politics,3,,http://www.amazon.com/gp/product/0873327616?colid=37GZ0Q8AZVOZ8&coliid=ISBN3Z5WZFUN5&ref_=wl_it_dp_o_pC_S_ttl
Economics in One Lession,Henry Hazlitt,politics,3,,http://www.amazon.com/gp/product/0517548232?colid=37GZ0Q8AZVOZ8&coliid=I2WNHXB6GLP7X1&ref_=wl_it_dp_o_pd_nS_ttl
The Underground History of American Education,John Taylor,politics,2,,http://www.amazon.com/gp/product/B000KF42JK?colid=37GZ0Q8AZVOZ8&coliid=I1Q2DCYOKZTXNR&ref_=wl_it_dp_o_pC_nS_ttl
The Breakdown of Nations,Leopold Kuhr,politics,3,,http://www.amazon.com/gp/product/1870098986?colid=37GZ0Q8AZVOZ8&coliid=INBKE4Y526YHT&ref_=wl_it_dp_o_pC_nS_ttl
Currency Wars,James Rickards,politics,4,,http://www.amazon.com/gp/product/1591844495?colid=37GZ0Q8AZVOZ8&coliid=IC44SQWRJVFQF&ref_=wl_it_dp_o_pC_nS_ttl
The Rationale of Central Banking and the Free Banking Alternative,Vera Smith,politics,2,,http://www.amazon.com/gp/product/0865970866?colid=37GZ0Q8AZVOZ8&coliid=IAMXFB2RQ7BYH&ref_=wl_it_dp_o_pC_S_ttl
Reflections of the Formation and the Distribution of Riches,Anne-Robert-Jacques Turgot,politics,4,,http://www.amazon.com/gp/product/0559737963?colid=37GZ0Q8AZVOZ8&coliid=INDCGTSBJV8D0&ref_=wl_it_dp_o_pC_nS_ttl
The New Empire of Debt,Will Bonner,politics,3,,http://www.amazon.com/gp/product/0470483261?colid=37GZ0Q8AZVOZ8&coliid=ICWBCIT7D5N9M&ref_=wl_it_dp_o_pC_S_ttl
The Sources of Social Power II: The Rise of Classes and Nation States,Michael Mann,politics,3,,http://www.amazon.com/gp/product/052144585X?colid=37GZ0Q8AZVOZ8&coliid=I15XN7GSFN520I&ref_=wl_it_dp_o_pC_nS_ttl
On Photography,Susan Sontag,,5,,http://www.amazon.com/dp/0312420099/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I13OVCGMOH4DRE
Freedom from Fear,Aung San Suu Kyi,politics,3,,http://www.amazon.com/dp/0141039493/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I17LJDIT02PRDV
The Decline and Fall of the Roman Empire,Edward Gibbon,history,4,,http://www.amazon.com/dp/0307700763/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=IZUI16BFQZ4VE
The Odyssey,Homer,fiction,4,,http://www.amazon.com/dp/0670821624/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=IMGA334M6SJ5S
The Iliad,Homer,fiction,4,,http://www.amazon.com/dp/0140275363/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I19AVE5YSDYS2G
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,history,3,,http://www.amazon.com/dp/1400032059/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I2W38QGMI2O1YH
Newton's Principia for the Common Reader,S. Chandrasekhar,science,3,,http://www.amazon.com/dp/0198517440/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=IZOS86URHD0XP
Pax Britannica,James Morris,history,4,,http://www.amazon.com/dp/B000RERZQG/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=3KDD12QBZ1TP&coliid=I470EPHVGZ8I4
Notes on the Synthesis of Form,Christopher Alexander,,5,,http://www.amazon.com/dp/0674627512/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=ID107XZS3MD0C
A Pattern Language,Chrisopher Alexander,,5,,http://www.amazon.com/dp/0195019199/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I15MHUW6ONDK6X
The Mythical Man-Month,Frederick Brooks,programming,3,,http://www.amazon.com/dp/0201835959/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I12PRH1A7T6RX2
Spacesuit: Fashioning Apollo,Nicholas de de Monchaux,design,3,,http://www.amazon.com/dp/0201835959/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I12PRH1A7T6RX2
The Design of Everyday Things,Don Norman,design,3,,http://www.amazon.com/dp/0465050654/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1IU8DBV2CIXA7
Thoughtful Interaction Design,Jonas Lowgren,design,4,,http://www.amazon.com/dp/0262622092/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2ANZVITADI0D3
The Last Art College: Nova Scotia College of Art and Design,Garry Neill Kennedy,,3,,http://www.amazon.com/dp/0262016907/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3AKIS8UGS94TS
Life's Other Secret: The New Mathematics of the Living World,Ian Stewart,design,3,,http://www.amazon.com/dp/B007JC1RM2/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3HPW85FQ3QAHA
Grid Systems in Graphic Design,Josef Buller-Brockmann,design,4,,http://www.amazon.com/dp/3721201450/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I36CWYVJFHT99O
Don't Make Me Think,Steve Krug,design,3,,http://www.amazon.com/dp/0321965515/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1WBP5AB0GG6AE
Designing Interactions,Bill Moggridge,design,3,,http://www.amazon.com/dp/0262134748/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I19AE0B7A9TEQE
Design in Nature: How the Constructal Law Governs,Adrian Bejan,design,3,,http://www.amazon.com/dp/0385534612/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I31TBML42ZQ7ZF
"Emergence: The Connected Lives of Ants, Cities, and Software",Steven Johnson,design,3,,http://www.amazon.com/dp/0684868768/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3IGCFB7VQTVLA
Limits to Growth,Donella Meadows,design,3,,http://www.amazon.com/dp/193149858X/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IZDBDNB7F4GI7
The Transition Companion,Rob Hopkins,,2,,http://www.amazon.com/dp/1603583920/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I32C0J4DWJIH8J
Designing Design,Kenya Hara,design,4,,http://www.amazon.com/dp/303778105X/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2LBKU781FFJCT
Seventy-nine Short Essays on Design,Michael Beirut,design,3,,http://www.amazon.com/dp/1568986998/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2IBCK8SS1GC2W
Geometry of Design,Kimberly Elam,design,3,,http://www.amazon.com/dp/1568982496/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I21WI8WZW7XLGY
Ordering DisorderL Grid Principles for Web Design,Khoi Vinh,design,4,,http://www.amazon.com/dp/0321703537/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I276GLPWIBOEE6
Designing Books Practice and Theory,Jost Hochuli,design,5,,http://www.amazon.com/dp/0907259235/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1PDY6FQO3EH0M
On Book Design,Richard Hendel,design,5,,http://www.amazon.com/dp/0300075707/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I21J69XY6XBTEP
Stillness and Light: The Silent Eloquence of Shaker Architecture,Henry Plummer,design,3,,http://www.amazon.com/dp/0253353629/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I6F0447YETDKG
Understanding Comics,Scott McCloud,,5,,http://www.amazon.com/dp/006097625X/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IZWVRV3RKKC7A
The Art of Japanese Joinery,Kiyosi Seike,design,4,,http://www.amazon.com/dp/0834815168/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2Y5NGBRA8URW1
Dieter Rams: As Little Design as Possible,Sophie Lovell,design,3,,http://www.amazon.com/dp/0714849189/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2Y1BTRMXG8KG1
Less and More: The Design Ethos of Dieter Rams,Keiko Ueki-Polet,design,3,,http://www.amazon.com/dp/3899552776/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3LVMSEPRVCJNU
The Complete Japanese Joinery,Hideo Sato,design,4,,http://www.amazon.com/dp/B002KAOSI8/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IQDT59W9PAXB8
Beautiful Evidence,Edward Tufte,design,4,,http://www.amazon.com/dp/0961392177/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I62XSO0PA01Y3
The Social Life of Small Urban Spaces,William Whyte,,5,,http://www.amazon.com/dp/097063241X/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1Y08YATM31R7O
The Soul of a Tree: A Woodworkers Reflections,George Nakashima,design,5,,http://www.amazon.com/dp/0870119036/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IADENPKC9IUKP
Light and Color in the Outdoors,Marcel Minnaert,design,3,,http://www.amazon.com/dp/0387979352/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2G2OZ7ZM2W9EJ
Building the Wooden House,Konrad Wachsmann,design,5,,http://www.amazon.com/dp/3764351349/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IEP2M1THAL1F6
Out of the Woods,Pat Borer,design,3,,http://www.amazon.com/dp/1898049122/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2KQBS5F4TMD16
For an Architecture of Reality,Michael Benedikt,design,3,,http://www.amazon.com/dp/0930829050/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2E6WC9ET0QM5S
Visual Complexity: Mapping Patterns of Information,Manuel Lima,design,3,,http://www.amazon.com/dp/1568989369/ref=wl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IKOG2XF1YYLTJ
Thinking in Systems: A Primer,Donella Meadows,design,3,,http://www.amazon.com/dp/1603580557/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3KZRCXBH9OBP1
The Design of Design: Essays from a Computer Scientist,Frederick Brooks,design,4,,http://www.amazon.com/dp/0201362988/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=IXHJLSX7LII8Y
The Elements of Style,William Strunk,,3,,http://www.amazon.com/dp/020530902X/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1P0GRGSTOM271
Visual Explanations,Edward Tufte,design,3,,http://www.amazon.com/dp/0961392126/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1FHLRVJ9T8D1V
The Self-Build Book,Jon Broome,,3,,http://www.amazon.com/dp/1870098552/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3AJLOCV0WBH6G
The Green Self-Build Book,Jon Broome,,3,,http://www.amazon.com/dp/1903998735/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I1LJ6LH6UJCCGS
Patterns of the Earth,Bernhard Edmaier,,3,,http://www.amazon.com/dp/0714846791/ref=wl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I3AFMTLPI0HU6O
Earthsong,Bernhard Edmaier,,3,,http://www.amazon.com/dp/B0096CQ4W6/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=2JA44E9EM291T&coliid=I2DMLPFQ7OQETU
The Nature of Order,Christopher Alexander,design,4,,http://www.amazon.com/Nature-Order-Phenomenon-Environmental-Structure/dp/0972652914/ref=sr_1_1?s=books&ie=UTF8&qid=1437948890&sr=1-1&keywords=the+nature+of+order+by+christopher+alexander
Seeing Is Forgetting the Name of the Thing One Sees,Lawrence Weschler,design,5,,http://www.amazon.com/dp/0520256093/ref=wl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=RRGQ6P3CAW8K&coliid=I1QI8BKY3IXCXN
In Praise of Shadows,Junichiro Tanizaki,design,4,,http://www.amazon.com/dp/0918172020/ref=wl_it_dp_o_pd_nS_ttl?_encoding=UTF8&colid=RRGQ6P3CAW8K&coliid=I1TVJH9NQX3V50
