name,author,category,rank,read,link
Introduction to Algorithms,Thomas Cormen,technical,3,,http://www.amazon.com/gp/product/0262033844?colid=JMUX9WUONOT7&coliid=I1DXDKRULBIFM0&ref_=wl_it_dp_o_pC_nS_ttl
"Godel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,programming,4,,http://www.amazon.com/G%C3%B6del-Escher-Bach-Eternal-Golden/dp/0465026567/ref=sr_1_1?ie=UTF8&qid=1436326352&sr=8-1&keywords=%22G%C3%B6del%2C+Escher%2C+Bach%22
Purely Functional Data Structures,Chris Okasaki,technical,2,,http://www.amazon.com/Purely-Functional-Structures-Chris-Okasaki/dp/0521663504/ref=sr_1_1?ie=UTF8&qid=1436326245&sr=8-1&keywords=purely+functional+data+structures
Quantitative Geography,A Stewart Fotheringam,technical,3,,http://www.amazon.com/gp/product/0761959483?colid=JMUX9WUONOT7&coliid=I1A25FHVRE8KY&ref_=wl_it_dp_o_pC_S_ttl
Code Complete 2,Steve McConnell,programming,3,,http://www.amazon.com/gp/product/0735619670?colid=JMUX9WUONOT7&coliid=IMBYWT3UWWK25&ref_=wl_it_dp_o_pC_nS_ttl
The Practice of Programming,Brian Kernighan,programming,3,,http://www.amazon.com/gp/product/020161586X?colid=JMUX9WUONOT7&coliid=I3BIZAPF1IC925&ref_=wl_it_dp_o_pC_S_ttl
Branching Streams Flow in the Darkness,Shunryu Suzuki,self-improvement,5,,http://www.amazon.com/gp/product/0520232127?colid=27V2RY5GGOKP4&coliid=I39KS7MCRSI7XJ&ref_=wl_it_dp_o_pC_S_ttl
Zero Yen Houses,Kyohei Sakaguchi,architecture,5,,http://www.amazon.com/gp/product/4898151175?colid=27V2RY5GGOKP4&coliid=I3E3J3QQSXPDXM&ref_=wl_it_dp_o_pC_nS_ttl
Mindfulness in Plain English,Bhante Henepola Gunaratana,self-improvement,3,,http://www.amazon.com/gp/product/0861719069?colid=27V2RY5GGOKP4&coliid=I1BVF4S2J7LMUS&ref_=wl_it_dp_o_pd_nS_ttl
Where the Heart Beats,Kay Larson,self-improvement,5,,http://www.amazon.com/gp/product/1594203407?colid=27V2RY5GGOKP4&coliid=I38NSBQMVB99NW&ref_=wl_it_dp_o_pC_nS_ttl
Essays in Zen Buddhism,D.T. Suzuki,self-improvement,3,,http://www.amazon.com/gp/product/0802151183?colid=27V2RY5GGOKP4&coliid=I1EVBIVR2FQFD0&ref_=wl_it_dp_o_pC_S_ttl
Tao Te Ching,Lao Tsu,self-improvement,3,,http://www.amazon.com/gp/product/0307949303?colid=27V2RY5GGOKP4&coliid=I1KUOS31Q5YPYZ&ref_=wl_it_dp_o_pC_nS_ttl
The Tibetan Book of the Dead,Graham Coleman,self-improvement,3,,http://www.amazon.com/gp/product/0143104942?colid=27V2RY5GGOKP4&coliid=I2E0XL7J4WBQLJ&ref_=wl_it_dp_o_pC_nS_ttl
The Miracle of Mindfulness,Thich Nhat Hanh,self-improvement,4,,http://www.amazon.com/gp/product/0807012394?colid=27V2RY5GGOKP4&coliid=I19LRV6KLO24I1&ref_=wl_it_dp_o_pd_nS_ttl
"Living Buddha, Living Christ",Thich Nhat Hanh,self-improvement,4,,http://www.amazon.com/gp/product/159448239X?colid=27V2RY5GGOKP4&coliid=I1SQ6POQSXCZJH&ref_=wl_it_dp_o_pC_nS_ttl
Contemplative Prayer,Thomas Merton,self-improvement,3,,http://www.amazon.com/gp/product/0385092199?colid=27V2RY5GGOKP4&coliid=I16MIDPWDOJJWM&ref_=wl_it_dp_o_pC_nS_ttl
Two Cheers for Anarchism,James Scott,politics,3,,http://www.amazon.com/gp/product/0691155291?colid=2NMROGHWBIVYT&coliid=I3VKWIJ75RYLG0&ref_=wl_it_dp_o_pC_S_ttl
Seeing like a State,James Scott,politics,4,,http://www.amazon.com/gp/product/0300078153?colid=2NMROGHWBIVYT&coliid=I2OM8DDK404L1B&ref_=wl_it_dp_o_pC_nS_ttl
The Art of Not Being Governed,James Scott,politics,5,,http://www.amazon.com/gp/product/0300152280?colid=2NMROGHWBIVYT&coliid=IVTRIEO1RWSCF&ref_=wl_it_dp_o_pC_nS_ttl
Sepp Holzer's Permaculture,Sepp Holzer,architecture,3,,http://www.amazon.com/gp/product/160358370X?colid=2NMROGHWBIVYT&coliid=I607VMS6M6DFH&ref_=wl_it_dp_o_pd_nS_ttl
Sowing Seeds in the Desert,Masanobu Fukuoka,architecture,5,,http://www.amazon.com/gp/product/1603584188?colid=2NMROGHWBIVYT&coliid=I33GCIZ2IPO355&ref_=wl_it_dp_o_pC_nS_ttl
Whole Earth Discipline,Stewart Brand,,5,,http://www.amazon.com/gp/product/0670021210?colid=2NMROGHWBIVYT&coliid=I41A15XP0JPR1&ref_=wl_it_dp_o_pC_nS_ttl
The One-Straw Revolution,Masanobu Fukuoka,architecture,3,,http://www.amazon.com/gp/product/1590173139?colid=2NMROGHWBIVYT&coliid=I1LJ90U36FY1DF&ref_=wl_it_dp_o_pC_nS_ttl
Natural Way of Farming,Masanobu Fukuoka,architecture,3,,http://www.amazon.com/gp/product/8185987009?colid=2NMROGHWBIVYT&coliid=I2J51ZC5I3NXIT&ref_=wl_it_dp_o_pC_nS_ttl
The Road Back to Nature,Masanobu Fukuoka,architecture,3,,http://www.amazon.com/gp/product/0870406736?colid=2NMROGHWBIVYT&coliid=I1M9FMAESAOE3J&ref_=wl_it_dp_o_pC_nS_ttl
Forest Gardening,Robert Hart,architecture,2,,http://www.amazon.com/gp/product/0930031849?colid=2NMROGHWBIVYT&coliid=I2YRULV06SD924&ref_=wl_it_dp_o_pC_nS_ttl
"Money, Bank Credit, and Economic Cycles",Jesus Huerta de Soto,finance,4,,http://www.amazon.com/gp/product/1933550392?colid=37GZ0Q8AZVOZ8&coliid=I15LDVZZI7HE95&ref_=wl_it_dp_o_pC_nS_ttl
Anatomy of the Bear: Lessons from Wall Street's Four Great Bottoms,Russell Napier,finance,4,,http://www.amazon.com/gp/product/1905641575?colid=37GZ0Q8AZVOZ8&coliid=I1EYUSPM3KOCC9&ref_=wl_it_dp_o_pC_nS_ttl
The Rise and Decline of Nations,Mancur Olson,politics,3,,http://www.amazon.com/gp/product/0300030797?colid=37GZ0Q8AZVOZ8&coliid=I2JYBTEMIZEQN7&ref_=wl_it_dp_o_pC_nS_ttl
Open City,Teju Cole,fiction,5,,http://www.amazon.com/gp/product/0812980093?colid=FPQHKBWL424H&coliid=I2U902PLTFDK87&ref_=wl_it_dp_o_pC_nS_ttl
Mr Penumbra's 24 Hour Bookstore,Robin Sloan,fiction,4,,http://www.amazon.com/gp/product/1250037751?colid=FPQHKBWL424H&coliid=I393E62LBVK3K5&ref_=wl_it_dp_o_pd_nS_ttl
White Teeth,Zadie Smith,fiction,4,,http://www.amazon.com/gp/product/0375703861?colid=FPQHKBWL424H&coliid=I2HOGAJRDB9CPE&ref_=wl_it_dp_o_pd_nS_ttl
Panarchy: Understanding Transformations in Human and Natural Systems,Lance Gunderson,politics,3,,http://www.amazon.com/gp/product/1559638575?colid=RRGQ6P3CAW8K&coliid=IAT3WORHS5SAX&ref_=wl_it_dp_o_pd_S_ttl
A Different Universe,Robert Laughlin,science,4,,http://www.amazon.com/gp/product/0465038298?colid=RRGQ6P3CAW8K&coliid=I31GVC5BS8M8S0&ref_=wl_it_dp_o_pC_nS_ttl
We Have Never Been Modern,Bruno Latour,,5,,http://www.amazon.com/gp/product/0674948394?colid=RRGQ6P3CAW8K&coliid=I15ZC2PWE57YXI&ref_=wl_it_dp_o_pd_nS_ttl
